"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
3793	4e+06	NA	"en"	"The Velocity of Gary"	0.409089	1999-07-16	0	100	4.2	5	"Drama"	1999	7	16	"Vincent D'Onofrio"	"male"	"Dan"	"male"
3853	3500000	"thriller forensic"	"en"	"2:13"	1.271621	2009-04-25	0	96	4.6	10	"Thriller"	2009	4	25	"Mark Thompson"	"male"	"Charles"	"male"
2476	0	"poison prison loss of family loss of father foster parents"	"en"	"White Oleander"	9.423866	2002-10-11	0	109	7.2	108	"Drama"	2002	10	11	"Alison Lohman"	"female"	"Peter"	"male"
491	1.3e+08	"gladiator arena gladiator fight lava roman"	"en"	"Pompeii"	50.561849	2014-02-18	117831631	105	5.2	1267	"Drama"	2014	2	18	"Kit Harington"	"male"	"Paul"	"male"
540	7.5e+07	"rap music hitman"	"en"	"Hollywood Homicide"	10.605084	2003-06-09	51142659	116	5	166	"Comedy"	2003	6	9	"Harrison Ford"	"male"	"Ron"	"male"
3238	8e+06	"california brother sister relationship wife husband relationship family's daily life oscar award"	"en"	"Little Miss Sunshine"	14.793177	2006-07-26	100523181	102	7.5	1686	"Drama"	2006	7	26	"Greg Kinnear"	"male"	"Jonathan"	"male"
306	1e+08	"alien life-form dinosaur primate duringcreditsstinger"	"en"	"Land of the Lost"	19.38841	2009-06-05	68688831	102	5.3	381	"Comedy"	2009	6	5	"Will Ferrell"	"male"	"Brad"	"male"
1594	4e+07	"shyness england cheating old town grave"	"en"	"Corpse Bride"	43.571612	2005-09-09	117195061	77	7.2	1894	"Romance"	2005	9	9	"Johnny Depp"	"male"	"Tim"	"male"
3396	7e+06	NA	"ru"	"Hard to Be a God"	3.120016	2013-02-27	1310673	170	6.7	41	"Drama"	2013	2	27	"Leonid Yarmolnik"	"male"	"Aleksey"	"male"
3267	8e+06	"independent film mistaken identity"	"en"	"The Pallbearer"	2.149469	1996-05-03	0	97	4.6	30	"Comedy"	1996	5	3	"David Schwimmer"	"male"	"Matt"	"male"
889	5.2e+07	"based on novel japanese world war ii battle assignment invasion"	"en"	"The Thin Red Line"	40.072583	1998-12-25	98126565	170	7.2	771	"Drama"	1998	12	25	"Sean Penn"	"male"	"Terrence"	"male"
798	5.8e+07	"job interview loss of job intern reference to google new job"	"en"	"The Internship"	1.551497	2013-06-07	4.4e+07	119	6.1	1658	"Comedy"	2013	6	7	"Owen Wilson"	"male"	"Shawn"	"male"
1638	3e+07	"male nudity female nudity letter love viagra"	"en"	"Love & Other Drugs"	20.236951	2010-11-22	102820008	112	6.6	1233	"Drama"	2010	11	22	"Jake Gyllenhaal"	"male"	"Edward"	"male"
3513	6e+06	"woman director"	"en"	"Song One"	6.349218	2014-01-20	32251	86	5.5	87	"Drama"	2014	1	20	"Anne Hathaway"	"female"	"Kate"	"female"
838	5e+07	"prison android spacecraft space marine imprisonment"	"en"	"Alien³"	45.856409	1992-05-22	159773545	114	6.2	1633	"Action"	1992	5	22	"Sigourney Weaver"	"female"	"David"	"male"
3967	3	NA	"en"	"Four Single Fathers"	0.008263	2009-01-15	0	100	0	0	"Drama"	2009	1	15	"Alessandro Gassman"	"male"	"Paolo"	"male"
4437	9e+05	"depression christmas party deaf-mute daughter high school sports"	"en"	"The Quiet"	4.0971	2005-09-12	381420	96	6.1	73	"Drama"	2005	9	12	"Elisha Cuthbert"	"female"	"Jamie"	"female"
3085	0	"secret asylum bed and breakfast place past psychopath"	"en"	"Spider"	6.948401	2002-12-13	0	98	6.4	168	"Drama"	2002	12	13	"Ralph Fiennes"	"male"	"David"	"male"
858	5e+07	"musical the muppets"	"en"	"Muppets Most Wanted"	14.808304	2014-03-20	80383290	112	6.2	316	"Comedy"	2014	3	20	"Ricky Gervais"	"male"	"James"	"male"
1116	4.2e+07	"fbi law tennessee lawyer law firm"	"en"	"The Firm"	23.736535	1993-06-30	270248367	154	6.6	501	"Drama"	1993	6	30	"Tom Cruise"	"male"	"Sydney"	"female"
4293	1	NA	"en"	"The Algerian"	0.025364	2015-08-07	0	99	0	0	NA	2015	8	7	"Ben Youcef"	"male"	"Giovanni"	"male"
1291	3.9e+07	"chicago sex based on novel nudity diary"	"en"	"The Time Traveler's Wife"	37.492928	2009-08-14	101229792	107	6.7	798	"Drama"	2009	8	14	"Eric Bana"	"male"	"Robert"	"male"
1026	4.8e+07	"baby becoming an adult puberty dream drug addiction"	"en"	"Riding in Cars with Boys"	7.226115	2001-10-19	35743308	132	6.5	103	"Drama"	2001	10	19	"Drew Barrymore"	"male"	"Penny"	"female"
4245	1500000	"disc jockey radio station winter survival zombie"	"en"	"Pontypool"	4.680206	2009-03-06	32000	93	6.6	183	"Fiction"	2009	3	6	"Stephen McHattie"	"male"	"Bruce"	"male"
4204	0	"independent film sexual humor drug humor"	"en"	"Foolish"	0.796009	1999-04-09	6033999	84	6.3	3	"Drama"	1999	4	9	"Eddie Griffin"	"male"	"Dave"	"male"
3354	0	"sport"	"en"	"Michael Jordan to the Max"	1.830306	2000-05-05	21268532	46	7.5	10	"Documentary"	2000	5	5	"Michael Jordan"	"male"	"James"	"male"
3784	3e+06	"london england nightclub chase fraud liar"	"en"	"Shooting Fish"	1.204941	1997-08-22	302204	109	7	23	"Comedy"	1997	8	22	"Dan Futterman"	"male"	"Stefan"	"male"
4801	0	NA	"en"	"Shanghai Calling"	0.857008	2012-05-03	0	98	5.7	7	NA	2012	5	3	"Daniel Henney"	"male"	"Daniel"	"male"
3297	2.2e+07	"vineyard rifle drug trade violence shot in the stomach"	"en"	"The Death and Life of Bobby Z"	12.893219	2007-07-23	413454	97	5.8	103	"Drama"	2007	7	23	"Paul Walker"	"male"	"John"	"male"
1184	2e+07	"high school bullying high school sports fake identity adult as a child"	"en"	"17 Again"	52.571674	2009-03-11	136267476	102	6.1	1350	"Comedy"	2009	3	11	"Zac Efron"	"male"	"Burr"	"male"
4415	1e+06	NA	"en"	"Snow White: A Deadly Summer"	0.653495	2012-03-16	0	85	4.8	11	"Thriller"	2012	3	16	"Shanley Caswell"	"female"	"David"	"male"
1004	5e+07	"great britain musical rock pirate radio swinging 60s"	"en"	"The Boat That Rocked"	31.02233	2009-04-01	36348784	116	7.2	666	"Drama"	2009	4	1	"Tom Sturridge"	"male"	"Richard"	"male"
3765	4e+06	"loss of father condom vulgar parole board alcohol abuse"	"en"	"Let's Go to Prison"	4.59841	2006-11-17	4630045	84	5.5	69	"Comedy"	2006	11	17	"Dax Shepard"	"male"	"Bob"	"male"
3541	0	"paris prostitute rape sex nudity"	"fr"	"Irreversible"	32.476098	2002-05-22	792	97	7.1	538	"Drama"	2002	5	22	"Monica Bellucci"	"female"	"Gaspar"	"male"
1275	5e+07	"saving the world bomb sun space marine sunlight"	"en"	"Sunshine"	51.502884	2007-04-05	32017803	107	7	1182	"Thriller"	2007	4	5	"Cillian Murphy"	"male"	"Danny"	"male"
3953	0	"woman director"	"en"	"Fort McCoy"	0.384496	2014-01-01	0	0	6.3	2	"Drama"	2014	1	1	"Eric Stoltz"	"male"	"Michael"	"male"
1751	2.7e+07	"secret society conciliation marriage mother daughter relationship playwright"	"en"	"Divine Secrets of the Ya-Ya Sisterhood"	5.576937	2002-06-07	0	116	5.6	65	"Drama"	2002	6	7	"Sandra Bullock"	"female"	"Callie"	"female"
2158	2e+07	"confidence romantic comedy dating insecurity airport security"	"en"	"She's Out of My League"	16.176976	2010-03-11	49779728	104	5.9	525	"Comedy"	2010	3	11	"Alice Eve"	"female"	"Jim"	"male"
904	5e+07	"single parent waitress lone wolf friendship neighbor"	"en"	"As Good as It Gets"	37.885022	1997-12-19	314178011	139	7.2	915	"Comedy"	1997	12	19	"Jack Nicholson"	"male"	"James"	"male"
4034	0	NA	"en"	"Christmas Mail"	0.630226	2010-12-01	0	89	5	15	"Comedy"	2010	12	1	"Ashley Scott"	"female"	"John"	"male"
109	1.55e+08	"based on novel magic good vs evil king narnia"	"en"	"The Chronicles of Narnia: The Voyage of the Dawn Treader"	49.661984	2010-08-13	415686217	113	6.2	1514	"Adventure"	2010	8	13	"Skandar Keynes"	NA	"Michael"	"male"
1067	4.5e+07	"father son relationship generations confilct sport amateur soccer soccer coach"	"en"	"Kicking & Screaming"	8.99269	2005-05-13	56070433	95	5.6	176	"Comedy"	2005	5	13	"Will Ferrell"	"male"	"Jesse"	"male"
473	7e+07	"saving the world total destruction white house mars usa president"	"en"	"Mars Attacks!"	44.090535	1996-12-12	101371017	106	6.1	1509	"Comedy"	1996	12	12	"Jack Nicholson"	"male"	"Tim"	"male"
